,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak
3uL_HP_0_A1_1,0,860.6915187861061,31489.15312691755,1844.316431741444,32.77386436163036,2648.629087658604,4172.998897120496,661.3799052230708,0.2681153909237752,0.20625251527864316,15605.41580192336,0.0
3uL_HP_0_A1_1,1,876.6703437173469,31777.83437348881,1811.968196743937,32.21894041796211,2862.469123877906,4115.823477163411,677.0935174237665,0.26341280327515704,0.212999986170821,15048.28113619204,0.0
3uL_HP_0_A1_1,2,892.6387412692108,32063.716911375835,646.7981181257749,10.9464504823756,449.2729581609822,4792.849529279835,202.0269133436468,0.09402753633025465,0.18624384842795952,2898.809818845086,0.0
3uL_HP_0_A1_1,3,904.0658101072382,32266.732527462333,721.6646479153428,12.40082706052016,893.4491567064539,3608.660099634925,309.6769138027803,0.1049111724331349,0.25052672879850874,4967.101729018264,0.0
3uL_HP_0_A1_1,4,1060.1404788880634,34920.93142320881,6878.815965718956,130.2737600973972,11025.51410412955,6561.591044420112,2248.759159045226,1.0,0.16156759415684593,43586.25717344932,0.0
3uL_HP_0_A1_1,5,1076.1177481781478,35181.26635668817,688.1173001633235,12.31891587651955,1535.700548073266,6738.916670052298,213.65479025964348,0.10003426513990235,0.15968705370113984,1180.241765429705,0.0
3uL_HP_0_A1_1,6,1188.1961480223763,36955.567615887376,407.4651838906999,7.436606507500922,370.068549808165,6070.682949687222,160.10256725186883,0.05923478487014774,0.19572693185757548,1727.288326627998,0.0
3uL_HP_0_A1_1,7,1211.1747843999326,37308.833185201875,348.977422135414,6.288603548804994,491.689294693543,7499.331504450057,114.32895607939021,0.05073219342900966,0.16150436658003836,716.9244555313609,0.0
3uL_HP_0_A1_1,8,2020.389428172628,48110.18556604235,1238.651988297167,22.60014547085391,16729.46323043679,8703.565387659544,921.6432124289643,0.1800676154835473,0.23213353817474178,3556.807540812906,0.0
3uL_HP_0_A1_1,9,2078.345660859257,48791.289610659966,384.2445442212007,6.530609738845529,708.1834952700149,6548.39614373442,359.0023669492522,0.055859110948179067,0.31738239642814553,1673.097752583542,0.0
3uL_HP_0_A1_1,10,2208.2716019222416,50284.36927144122,1858.455140706646,34.14978063907304,10186.22065235906,7241.976040139515,1822.4206022917022,0.270170789561515,0.30492666499897725,17986.89411638755,0.0
3uL_HP_0_A1_1,11,2234.4007590060182,50579.269262972535,1633.441635604487,30.24804468903677,16389.64396424388,8088.146333845563,1460.4974256653163,0.23745970872674216,0.27625622321593896,9775.66512914465,0.0
3uL_HP_0_A1_1,12,2432.4281201800063,52760.25215620816,379.7672439977967,6.000137026995871,445.6957938104335,7208.525119230725,350.9333489216834,0.05520822855130773,0.33743769771861304,2705.37968958061,0.0
3uL_HP_0_A1_1,13,2464.315250593244,53103.002811803606,1174.194570538384,21.50137836656252,10374.49877681263,7857.310185751202,1198.3685011004397,0.17069719213162002,0.31363344354944056,5921.849948975776,0.0
3uL_HP_0_A1_1,14,2708.423138955162,55656.504593860336,629.7589813041056,11.59907084646855,1762.588554046953,7149.434608327037,782.3547187111038,0.09155049131166643,0.37883039531554386,3374.026397002458,0.0
3uL_HP_0_A1_1,15,2881.4414846784475,57397.18968967259,408.696307598368,7.434415357850631,345.1153468704908,7756.598074802141,508.2697599754835,0.059413758070448984,0.37148263412526356,1328.015950883927,0.0
3uL_HP_0_A1_1,16,3156.35427965604,60058.83583462552,447.7183637484991,8.598386084080976,1523.406933749714,6857.100005601144,698.7786859539474,0.0650865448326767,0.4603045423105698,1730.502941472962,0.0
3uL_HP_0_A10_1,0,860.9099194556333,31491.524938488794,641.5441225777454,11.51739920992809,1155.172025212068,2971.375164593667,328.5875522719625,0.11266597803171942,0.28973450734665546,1719.823120910405,0.0
3uL_HP_0_A10_1,1,876.8677111175424,31779.96316763758,712.7364024466414,12.79726521027455,1366.751229076622,3159.56785277239,350.87428824138516,0.12516854419584952,0.2775277354300612,1684.466082117803,0.0
3uL_HP_0_A10_1,2,904.2847513906785,32269.445464152333,751.234486445119,13.56776529638313,1534.107714649375,2731.386437847586,444.6232671996557,0.13192945764418393,0.33107170002033176,1746.19093336199,0.0
3uL_HP_0_A10_1,3,1060.3858288429046,34924.57829086751,5078.777496499996,95.24400903346098,8288.592281011714,4132.988067176387,2681.9366764207084,0.8919190648174271,0.25656639012929666,42197.64856971778,0.0
3uL_HP_0_A10_1,4,1076.3673419522313,35184.989892781174,678.0586381573473,12.23993970468638,1614.775030882754,4727.474478670228,310.05826216292024,0.11907854338046012,0.22768337445472542,1293.77926878132,0.0
3uL_HP_0_A10_1,5,1188.4366883969426,36959.087991606844,580.234521296921,10.46269627682921,1965.738165497723,4353.984024390873,328.2936902150693,0.10189897706024414,0.27295384680774204,942.6817429483577,0.0
3uL_HP_0_A10_1,6,1211.4232905580498,37312.446368079785,361.4279828530255,6.319735224242791,625.7162788156813,4144.689033669004,212.83261737068833,0.06347285516785779,0.2922832764333254,754.8314153227997,0.0
3uL_HP_0_A10_1,7,1498.4342723478233,41469.416089285274,476.1374719591419,8.0755206383356,529.3807030169772,5873.205015483057,292.50085528669547,0.08361777790166912,0.2551305919676943,2300.483154154135,0.0
3uL_HP_0_A10_1,8,1890.548281497796,46547.32363956538,645.3118623926093,9.528698537258888,1632.603806791702,8498.204703828504,431.27230319919784,0.11332765674760423,0.22246443188713613,1885.464477948304,0.0
