,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA
2-4_0_A7_1,1,1537.387106,22323.7004,6174,13.86518903,,648.4852069,14904.95665,0.624709096,2.370735816,,0,2_4,0.078588062,0
2-4_0_A7_1,2,2790.3811,29935.44701,1735,1.895027151,,565.7076141,4030.560071,0.175553982,4.932550015,,0,2_4,0.078588062,0
2-4_0_A7_1,3,2818.968475,30086.07255,9883,25.43563653,,554.6292475,51287.17992,1,5.082617781,,0,2_4,0.078588062,0
2-4_0_A8_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_4,0.077514497,0
2-4_0_A8_1,1,1537.937214,22327.62901,5162,11.60785206,,659.1444306,11220.75362,0.673538622,2.333232509,,0,2_4,0.077514497,0
2-4_0_A8_1,2,2790.835256,29937.84604,1446,1.422348667,,511.6281214,2967.521834,0.188674322,5.454812078,,0,2_4,0.077514497,0
2-4_0_A8_1,3,2819.15532,30087.05447,7664,19.79022101,,567.1232781,38283.44299,1,4.97097444,,0,2_4,0.077514497,0
2-5_0_A10_1,0,1522.071723,22214.03857,1352,1.391376459,,615.5057519,763.5354442,0.173489029,2.472879772,,0,2_5,0.103842662,0.05205747
2-5_0_A10_1,1,1538.032234,22328.30753,6024,18.34604396,,635.414695,14667.16383,0.773001412,2.420517256,,0,2_5,0.103842662,0.05205747
2-5_0_A10_1,2,2791.145128,29939.48278,1660,2.721669851,,592.315773,4133.309474,0.213011677,4.712258655,,0,2_5,0.103842662,0.05205747
2-5_0_A10_1,3,2819.327893,30087.96136,7793,27.41636537,,547.8068573,39803.57769,1,5.14657284,,0,2_5,0.103842662,0.05205747
2-5_0_A9_1,0,1522.028099,22213.72542,1149,1.27607163,,629.2043665,588.0372224,0.181287472,2.418972563,,0,2_5,0.104796456,0.055011076
2-5_0_A9_1,1,1538.065979,22328.54849,4781,17.7517522,,656.2150801,10689.43322,0.754338908,2.343844305,,0,2_5,0.104796456,0.055011076
2-5_0_A9_1,2,2791.072468,29939.099,1428,2.625881703,,596.4261015,3299.822042,0.225307668,4.679661841,,0,2_5,0.104796456,0.055011076
2-5_0_A9_1,3,2819.275216,30087.68454,6338,26.1567851,,567.1422472,31487.91631,1,4.971019581,,0,2_5,0.104796456,0.055011076
2-6_0_A11_1,0,1522.025081,22213.70375,1236,1.204189747,,430.4054141,886.6912557,0.146532306,3.536259143,,0,2_6,0.296998297,0.075479415
2-6_0_A11_1,1,1538.187224,22329.41423,5036,17.45633843,,612.1158971,11747.45792,0.597036159,2.512901938,,0,2_6,0.296998297,0.075479415
2-6_0_A11_1,2,2791.640381,29942.09853,3157,8.344997723,,536.5396929,13306.1314,0.374273859,5.2030454,,0,2_6,0.296998297,0.075479415
2-6_0_A11_1,3,2819.654734,30089.67887,8435,30.07625067,,533.8405095,44802.04611,1,5.281829841,,0,2_6,0.296998297,0.075479415
2-6_0_A12_1,0,1522.098164,22214.22837,1307,1.427765676,,487.2137518,984.351262,0.155929372,3.124087033,,0,2_6,0.291659453,0.082441385
2-6_0_A12_1,1,1538.139289,22329.07196,5330,18.05536464,,631.6658066,11940.01358,0.635886423,2.435052322,,0,2_6,0.291659453,0.082441385
2-6_0_A12_1,2,2791.465099,29941.17278,3056,8.125306975,,544.4834962,12382.64069,0.36459079,5.12681306,,0,2_6,0.291659453,0.082441385
2-6_0_A12_1,3,2819.622165,30089.50773,8382,30.53298585,,568.7377414,42455.81807,1,4.957684289,,0,2_6,0.291659453,0.082441385
2-7_0_B1_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_7,0.073762299,0
2-7_0_B1_1,1,1538.165843,22329.26157,5572,13.65181948,,673.0273403,12220.35254,0.800114877,2.285443326,,0,2_7,0.073762299,0
2-7_0_B1_1,2,2790.958663,29938.49788,1387,1.91431618,,558.0110565,2477.1281,0.199167145,5.001618929,,0,2_7,0.073762299,0
2-7_0_B1_1,3,2819.500534,30088.86858,6964,26.78859052,,554.7990515,33582.57714,1,5.082021186,,0,2_7,0.073762299,0
2-7_0_B2_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_7,0.075888854,0
2-7_0_B2_1,1,1538.191455,22329.44445,4565,14.26510972,,674.7480003,9761.280259,0.863928842,2.279653226,,0,2_7,0.075888854,0
2-7_0_B2_1,2,2790.574914,29936.47083,1177,1.750736365,,471.3479229,1941.191339,0.222747918,5.920414153,,0,2_7,0.075888854,0
2-7_0_B2_1,3,2819.474326,30088.73086,5284,23.81551315,,556.5639954,25579.39979,1,5.065858283,,0,2_7,0.075888854,0
2-8_0_B3_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_8,0.15644981,0
2-8_0_B3_1,1,1538.314297,22330.32156,2309,8.424247809,,657.9479562,4026.45051,0.80034662,2.338048599,,0,2_8,0.15644981,0
2-8_0_B3_1,2,2791.630796,29942.04791,1058,1.902467903,,592.5076084,1942.0825,0.366724437,4.711552656,,0,2_8,0.15644981,0
2-8_0_B3_1,3,2819.74362,30090.14594,2885,14.21800527,,607.5372428,12413.45385,1,4.641268751,,0,2_8,0.15644981,0
2-8_0_B4_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_8,0.142228347,0
2-8_0_B4_1,1,1538.299926,22330.21894,2750,12.00148,,672.215097,5095.154125,0.894308943,2.288404311,,0,2_8,0.142228347,0
2-8_0_B4_1,2,2790.93615,29938.37897,1047,1.994868722,,528.775998,1861.98653,0.340487805,5.278106724,,0,2_8,0.142228347,0
2-8_0_B4_1,3,2819.682378,30089.82413,3075,17.58345136,,581.6717721,13091.52901,1,4.847548932,,0,2_8,0.142228347,0
2-9_0_B5_1,0,1522.350038,22216.03633,869,1.081121622,,601.5417923,386.8030348,0.253500583,2.53074692,,0,2_9,0.309795366,0.08784917
2-9_0_B5_1,1,1538.402876,22330.954,2334,11.20627722,,634.9852057,4403.035728,0.680863477,2.42273814,,0,2_9,0.309795366,0.08784917
2-9_0_B5_1,2,2791.982275,29943.90415,1597,5.698544723,,592.4705028,4734.443895,0.465869312,4.712440977,,0,2_9,0.309795366,0.08784917
2-9_0_B5_1,3,2819.825875,30090.57816,3428,18.22035842,,589.7306953,15282.4878,1,4.781548421,,0,2_9,0.309795366,0.08784917
