level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,Tail,id,name,hep/hhep,SAA/IS_SAA,tag,hep avg,hep std,hep CV,SAA avg,SAA std,SAA CV
38_1_0_A1_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1,A01,38_1,0.10845066450121456,0.0,38_1,0.1088716848504735,0.00045008968565322076,0.4134129882084426,0.0,0.0,
38_1_0_A1_1,1,1539.074392932854,22335.747968213298,5940.0,11.88461513120824,,560.240549630913,17127.17194653719,0.6365195027861124,2.74716707661878,,0.0,1,A01,,,,,,,,,,
38_1_0_A1_1,2,2793.074129485402,29949.669729631147,1819.0,3.436250314040143,,455.8377777492402,5969.544101562093,0.19492070295756536,6.1273423700786225,,0.0,1,A01,,,,,,,,,,
38_1_0_A1_1,3,2821.553398923403,30099.65413702106,9332.0,36.76157332437539,,487.7989409508606,55043.86837108996,1.0,5.784254868252447,,0.0,1,A01,,,,,,,,,,
38_1_0_A2_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2,A02,38_1,0.10929270519973243,0.0,,,,,,,
38_1_0_A2_1,1,1539.038363466673,22335.4907802421,8859.0,13.19071682059925,,554.647425290442,26018.73009180394,0.6211175769473463,2.7748048459086476,,0.0,2,A02,,,,,,,,,,
38_1_0_A2_1,2,2793.332029807337,29951.031416014608,2421.0,3.688043689912361,,466.539478387353,9338.582830525547,0.16973988641940685,5.987343320789933,,0.0,2,A02,,,,,,,,,,
38_1_0_A2_1,3,2821.582272294651,30099.80580654438,14263.0,40.13620037885913,,486.2938428507302,85445.61884033601,1.0,5.802216733311071,,0.0,2,A02,,,,,,,,,,
38_2_0_A3_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3,A03,38_2,0.07295082075367358,0.0,38_2,0.07152592625075271,0.0015232762977792906,2.1296841266187174,0.0,0.0,
38_2_0_A3_1,1,1538.778176772116,22333.63340770212,20007.0,12.37909780842119,,533.6049139664638,64560.79481164366,0.6782033898305084,2.8837406412430937,,0.0,3,A03,,,,,,,,,,
38_2_0_A3_1,2,2792.237203823171,29945.25041171488,3624.0,1.737732753520332,,374.755704326073,13626.41897005653,0.12284745762711864,7.450819751615201,,0.0,3,A03,,,,,,,,,,
38_2_0_A3_1,3,2821.296304887413,30098.303607797436,29500.0,33.55314174157628,,471.8759252739902,186789.1112022937,1.0,5.978894352894258,,0.0,3,A03,,,,,,,,,,
38_2_0_A4_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4,A04,38_2,0.07010103174783185,0.0,,,,,,,
38_2_0_A4_1,1,1538.570520008634,22332.15091226722,24998.0,15.8193723084736,,565.0590971157566,76460.55260410348,0.7450968703427719,2.722848862821593,,0.0,4,A04,,,,,,,,,,
38_2_0_A4_1,2,2792.206797379323,29945.089840320557,3942.0,2.020194170568757,,395.6649493453431,14345.03461209841,0.1174962742175857,7.056998104075773,,0.0,4,A04,,,,,,,,,,
38_2_0_A4_1,3,2820.875358741194,30096.09221964602,33550.0,35.90454576369577,,492.9592865347974,204633.7158588552,1.0,5.72232927909772,,0.0,4,A04,,,,,,,,,,
38_3_0_A5_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5,A05,38_3,0.17098010379267517,0.0,38_3,0.17008095374639964,0.0009612318321357947,0.5651613604948653,0.0,0.0,
38_3_0_A5_1,1,1538.693956914011,22333.032160608436,29927.0,11.42661764385831,,539.216727455767,96467.97295607548,0.6327730204038482,2.85357237371727,,0.0,5,A05,,,,,,,,,,
38_3_0_A5_1,2,2792.851936354129,29948.496522322344,10119.0,5.133914730875918,,454.1024417563953,50821.4561988865,0.21395496352679988,6.150268484687786,,0.0,5,A05,,,,,,,,,,
